"","longitude","latitude","year","month","day","dataname"
"192",-110.981741,32.339288,2016,6,4,"gbif_filtered"
"193",-110.981741,32.339288,2016,7,2,"gbif_filtered"
"194",-110.981741,32.339288,2016,7,9,"gbif_filtered"
"195",-109.27386,31.916434,2016,7,31,"gbif_filtered"
"196",-109.824851,32.23355,2016,8,5,"gbif_filtered"
"197",-110.981741,32.339288,2016,8,6,"gbif_filtered"
"198",-109.060153,31.814508,2016,8,2,"gbif_filtered"
"199",-109.207492,31.884536,2016,8,3,"gbif_filtered"
"200",-112.05666,36.770004,2016,8,28,"gbif_filtered"
"201",-110.981741,32.339288,2016,8,13,"gbif_filtered"
"202",-110.981741,32.339288,2016,8,20,"gbif_filtered"
"203",-110.981741,32.339288,2016,8,27,"gbif_filtered"
"204",-110.981741,32.339288,2016,9,3,"gbif_filtered"
"205",-110.903803,32.221296,2016,10,9,"gbif_filtered"
"206",-110.981741,32.339288,2016,10,15,"gbif_filtered"
"207",-110.981741,32.339288,2016,10,2,"gbif_filtered"
"208",-110.981741,32.339288,2016,10,30,"gbif_filtered"
"209",-110.981741,32.339288,2016,10,22,"gbif_filtered"
"210",-110.981741,32.339288,2016,10,8,"gbif_filtered"
"211",-110.981741,32.339288,2016,11,26,"gbif_filtered"
"212",-110.903803,32.221296,2016,11,20,"gbif_filtered"
"213",-109.127717,31.929439,2016,11,23,"gbif_filtered"
"214",-111.1682,32.244,2016,11,24,"gbif_filtered"
"215",-114.033108,34.26431,2016,11,15,"gbif_filtered"
"216",-110.982084,32.339426,2016,11,5,"gbif_filtered"
"217",-110.981741,32.339288,2016,11,5,"gbif_filtered"
"218",-110.981741,32.339288,2016,11,12,"gbif_filtered"
"219",-110.981741,32.339288,2016,11,19,"gbif_filtered"
"220",-114.033108,34.26431,2016,11,15,"gbif_filtered"
"221",-110.903803,32.221296,2016,12,2,"gbif_filtered"
"222",-110.981741,32.339288,2016,12,3,"gbif_filtered"
"223",-110.981741,32.339288,2016,12,10,"gbif_filtered"
"224",-110.85381,31.488333,2016,12,20,"gbif_filtered"
"225",-110.981741,32.339288,2016,12,24,"gbif_filtered"
"226",-110.981741,32.339288,2015,1,20,"gbif_filtered"
"227",-111.672378,33.54211,2015,2,11,"gbif_filtered"
"228",-111.672378,33.54211,2015,2,8,"gbif_filtered"
"229",-111.672378,33.54211,2015,2,10,"gbif_filtered"
"230",-111.672378,33.54211,2015,2,9,"gbif_filtered"
"231",-110.981741,32.339288,2015,2,21,"gbif_filtered"
"232",-110.981741,32.339288,2015,2,14,"gbif_filtered"
"233",-111.156589,33.27836,2015,4,1,"gbif_filtered"
"234",-110.981741,32.339288,2015,5,9,"gbif_filtered"
"235",-112.464364,34.623322,2015,9,15,"gbif_filtered"
"236",-110.981741,32.339288,2015,9,19,"gbif_filtered"
"237",-110.885791,31.738917,2015,9,27,"gbif_filtered"
"238",-114.00444,34.250406,2015,10,21,"gbif_filtered"
"239",-110.981741,32.339288,2015,10,31,"gbif_filtered"
"240",-110.981741,32.339288,2015,10,24,"gbif_filtered"
"241",-110.981741,32.339288,2015,10,20,"gbif_filtered"
"242",-110.981741,32.339288,2015,10,17,"gbif_filtered"
"243",-110.981741,32.339288,2015,11,7,"gbif_filtered"
"244",-110.981741,32.339288,2015,11,28,"gbif_filtered"
"245",-110.981741,32.339288,2015,11,21,"gbif_filtered"
"246",-110.981741,32.339288,2015,11,14,"gbif_filtered"
"247",-110.981741,32.339288,2015,12,5,"gbif_filtered"
"248",-110.908785,32.248523,2014,2,19,"gbif_filtered"
"249",-110.980819,32.339833,2014,2,17,"gbif_filtered"
"250",-112.536982,34.54878,2014,7,17,"gbif_filtered"
"251",-109.205292,31.883254,2014,7,31,"gbif_filtered"
"252",-109.121919,31.775352,2014,7,31,"gbif_filtered"
"253",-112.506502,34.541013,2014,8,4,"gbif_filtered"
"254",-112.524816,36.940421,2014,9,15,"gbif_filtered"
"255",-114.286823,34.663359,2014,10,20,"gbif_filtered"
"256",-114.286823,34.663359,2014,10,23,"gbif_filtered"
"257",-109.22101,31.92565,2014,10,22,"gbif_filtered"
"258",-110.981741,32.339288,2014,10,25,"gbif_filtered"
"259",-110.981741,32.339288,2014,10,18,"gbif_filtered"
"260",-110.981741,32.339288,2014,10,2,"gbif_filtered"
"261",-114.033108,34.26431,2014,11,6,"gbif_filtered"
"262",-110.981741,32.339288,2014,11,4,"gbif_filtered"
"263",-110.981741,32.339288,2014,11,1,"gbif_filtered"
"264",-110.981741,32.339288,2014,11,29,"gbif_filtered"
"265",-110.981741,32.339288,2014,11,8,"gbif_filtered"
"266",-114.035554,34.262998,2014,11,6,"gbif_filtered"
"267",-110.981741,32.339288,2014,11,22,"gbif_filtered"
"268",-110.981741,32.339288,2014,11,15,"gbif_filtered"
"269",-109.06,33.6216,2013,5,27,"gbif_filtered"
"270",-110.80965,31.798516,2013,8,9,"gbif_filtered"
"271",-111.466084,34.384884,2013,9,7,"gbif_filtered"
"272",-110.849519,31.497006,2013,9,22,"gbif_filtered"
"273",-110.903803,32.221296,2011,11,19,"gbif_filtered"
"274",-110.908871,32.248486,2009,3,20,"gbif_filtered"
"275",-110.887856,31.675005,2005,4,27,"gbif_filtered"
"276",-110.887856,31.675005,2005,4,27,"gbif_filtered"
"277",-110.347981,31.474426,2005,8,4,"gbif_filtered"
"278",-110.849748,31.498214,2005,8,28,"gbif_filtered"
"279",-110.347981,31.474426,2005,8,4,"gbif_filtered"
"280",-110.849748,31.498214,2005,8,28,"gbif_filtered"
"281",-111.086934,31.405517,2005,9,17,"gbif_filtered"
"282",-111.086934,31.405517,2005,9,17,"gbif_filtered"
"283",-109.308969,31.779949,2004,11,6,"gbif_filtered"
"284",-109.308969,31.779949,2004,11,6,"gbif_filtered"
"285",-111.318298,32.489601,2001,8,5,"gbif_filtered"
"286",-111.168174,32.244013,2001,9,28,"gbif_filtered"
"287",-111.168174,32.244013,2001,9,28,"gbif_filtered"
"288",-111.915117,33.37075,2022,1,3,"gbif_with_na"
"289",-110.981591,32.33944,2022,1,11,"gbif_with_na"
"290",-110.981591,32.33944,2022,1,4,"gbif_with_na"
"291",-112.070967,33.42247,2022,1,17,"gbif_with_na"
"292",-111.942262,33.460312,2022,1,11,"gbif_with_na"
"293",-111.879751,33.51417,2022,1,22,"gbif_with_na"
"294",-112.031911,33.706305,2022,1,26,"gbif_with_na"
"295",-112.031911,33.706305,2022,1,27,"gbif_with_na"
"296",-112.031911,33.706305,2022,1,27,"gbif_with_na"
"297",-111.883618,33.513315,2022,1,10,"gbif_with_na"
"298",-110.83443,32.184178,2022,2,8,"gbif_with_na"
"299",-111.159536,33.27918,2022,2,20,"gbif_with_na"
"300",-111.158494,33.278713,2022,2,20,"gbif_with_na"
"301",-111.159536,33.279217,2022,2,20,"gbif_with_na"
"302",-110.981591,32.33944,2022,2,15,"gbif_with_na"
"303",-111.888794,33.403313,2022,2,26,"gbif_with_na"
"304",-111.051186,31.56775,2022,3,1,"gbif_with_na"
"305",-110.95398,32.231912,2022,3,3,"gbif_with_na"
"306",-110.981591,32.33944,2022,3,1,"gbif_with_na"
"307",-111.051225,31.567762,2022,3,3,"gbif_with_na"
"308",-110.980753,32.33958,2022,3,10,"gbif_with_na"
"309",-111.870537,33.390675,2022,3,13,"gbif_with_na"
"310",-111.159472,33.27924,2022,3,11,"gbif_with_na"
"311",-111.968056,33.491909,2022,3,13,"gbif_with_na"
"312",-112.312226,33.443274,2022,3,17,"gbif_with_na"
"313",-111.870925,33.391037,2022,3,22,"gbif_with_na"
"314",-110.967497,32.236844,2022,5,6,"gbif_with_na"
"315",-112.088312,33.371115,2022,5,1,"gbif_with_na"
"316",-110.871862,32.242868,2022,5,15,"gbif_with_na"
"317",-110.920871,32.208178,2022,5,22,"gbif_with_na"
"318",-111.9785,33.508778,2022,5,28,"gbif_with_na"
"319",-110.694739,35.021366,2022,7,21,"gbif_with_na"
"320",-112.14979,36.05263,2022,7,18,"gbif_with_na"
"321",-112.134919,36.048922,2022,7,20,"gbif_with_na"
"322",-111.731418,35.160972,2022,7,22,"gbif_with_na"
"323",-110.73168,32.421137,2022,7,17,"gbif_with_na"
"324",-111.731388,35.16113,2022,7,31,"gbif_with_na"
"325",-110.956137,32.386484,2022,7,29,"gbif_with_na"
"326",-111.189408,31.431417,2022,7,27,"gbif_with_na"
"327",-109.205661,31.883316,2022,7,16,"gbif_with_na"
"328",-111.190647,31.428764,2022,7,27,"gbif_with_na"
"329",-112.099509,36.431701,2022,7,15,"gbif_with_na"
"330",-112.122568,33.729587,2022,8,5,"gbif_with_na"
"331",-110.226091,31.409982,2022,8,2,"gbif_with_na"
"332",-109.205968,31.883977,2022,8,2,"gbif_with_na"
"333",-111.130389,31.394187,2022,8,4,"gbif_with_na"
"334",-112.132919,35.97184,2022,8,9,"gbif_with_na"
"335",-112.157455,33.87726,2022,8,7,"gbif_with_na"
"336",-110.226091,31.409982,2022,8,2,"gbif_with_na"
"337",-111.529945,35.119672,2022,8,2,"gbif_with_na"
"338",-112.137159,36.049801,2022,8,7,"gbif_with_na"
"339",-109.916192,31.44392,2022,8,13,"gbif_with_na"
"340",-109.205914,31.883158,2022,8,3,"gbif_with_na"
"341",-112.120643,36.054604,2022,8,10,"gbif_with_na"
"342",-112.140247,36.057106,2022,8,12,"gbif_with_na"
"343",-111.656608,35.176287,2022,8,15,"gbif_with_na"
"344",-109.205595,31.883497,2022,8,14,"gbif_with_na"
"345",-109.239869,31.594069,2022,8,17,"gbif_with_na"
"346",-111.378321,35.013372,2022,8,16,"gbif_with_na"
"347",-112.109311,36.059128,2022,8,17,"gbif_with_na"
"348",-112.120119,36.055854,2022,8,25,"gbif_with_na"
"349",-109.780297,35.066186,2022,8,24,"gbif_with_na"
"350",-112.120661,36.054818,2022,8,30,"gbif_with_na"
"351",-109.352203,34.054353,2022,8,16,"gbif_with_na"
"352",-111.950076,33.896396,2022,8,31,"gbif_with_na"
"353",-109.352495,34.054633,2022,8,16,"gbif_with_na"
"354",-109.20765,31.882813,2022,8,20,"gbif_with_na"
"355",-110.703375,32.836822,2022,8,24,"gbif_with_na"
"356",-110.141808,31.547697,2022,8,30,"gbif_with_na"
"357",-111.659487,35.177809,2022,8,29,"gbif_with_na"
"358",-109.396392,34.200205,2022,8,16,"gbif_with_na"
"359",-110.961096,31.897611,2022,8,23,"gbif_with_na"
"360",-112.109779,36.05866,2022,9,12,"gbif_with_na"
"361",-111.015361,31.795977,2022,9,5,"gbif_with_na"
"362",-111.661728,35.189717,2022,9,11,"gbif_with_na"
"363",-109.78018,35.066208,2022,9,1,"gbif_with_na"
"364",-111.731379,35.160983,2022,9,9,"gbif_with_na"
"365",-112.307042,34.603414,2022,9,11,"gbif_with_na"
"366",-110.466938,31.444894,2022,9,14,"gbif_with_na"
"367",-110.142104,31.54223,2022,9,14,"gbif_with_na"
"368",-112.022588,33.330395,2022,9,16,"gbif_with_na"
"369",-111.942641,33.46045,2022,9,15,"gbif_with_na"
"370",-111.60849,35.213909,2022,9,19,"gbif_with_na"
"371",-111.658,35.178015,2022,9,12,"gbif_with_na"
"372",-112.144077,36.060934,2022,9,24,"gbif_with_na"
"373",-111.986764,33.765672,2022,9,20,"gbif_with_na"
"374",-111.9423,33.460412,2022,9,22,"gbif_with_na"
"375",-111.734348,33.727988,2022,9,25,"gbif_with_na"
"376",-111.945973,33.461751,2022,9,26,"gbif_with_na"
"377",-110.880087,31.725088,2022,9,20,"gbif_with_na"
"378",-112.122567,33.729575,2022,9,25,"gbif_with_na"
"379",-111.945973,33.461751,2022,9,26,"gbif_with_na"
"380",-112.303498,33.482064,2021,1,20,"gbif_with_na"
"381",-112.088312,33.371115,2021,1,17,"gbif_with_na"
"382",-110.980213,32.26592,2021,2,6,"gbif_with_na"
"383",-111.9423,33.460439,2021,2,2,"gbif_with_na"
"384",-110.865613,32.236476,2021,2,10,"gbif_with_na"
"385",-112.159523,33.608242,2021,2,18,"gbif_with_na"
"386",-111.895875,33.4006,2021,2,15,"gbif_with_na"
"387",-110.982213,32.339694,2021,3,2,"gbif_with_na"
"388",-110.910811,32.2238,2021,3,7,"gbif_with_na"
"389",-110.908538,32.24822,2021,3,26,"gbif_with_na"
"390",-110.935167,32.227993,2021,3,25,"gbif_with_na"
"391",-111.942222,33.46038,2021,4,6,"gbif_with_na"
"392",-111.942245,33.46042,2021,4,6,"gbif_with_na"
"393",-109.451846,32.154921,2021,4,10,"gbif_with_na"
"394",-110.91912,32.242642,2021,4,15,"gbif_with_na"
"395",-111.166267,32.243337,2021,4,15,"gbif_with_na"
"396",-111.883618,33.513315,2021,4,16,"gbif_with_na"
"397",-110.912151,32.208094,2021,4,24,"gbif_with_na"
"398",-110.83443,32.184178,2021,4,15,"gbif_with_na"
"399",-112.128022,36.078167,2021,5,1,"gbif_with_na"
"400",-111.882084,33.512067,2021,5,12,"gbif_with_na"
"401",-111.02195,32.27932,2021,5,12,"gbif_with_na"
"402",-112.079607,33.631376,2021,5,17,"gbif_with_na"
"403",-110.955733,32.239658,2021,5,20,"gbif_with_na"
"404",-110.956672,32.240497,2021,5,22,"gbif_with_na"
"405",-110.908267,32.24832,2021,5,23,"gbif_with_na"
"406",-111.883618,33.513315,2021,5,20,"gbif_with_na"
"407",-110.981591,32.33944,2021,5,25,"gbif_with_na"
"408",-111.022808,32.278964,2021,6,6,"gbif_with_na"
"409",-111.022607,32.278308,2021,6,6,"gbif_with_na"
"410",-112.159714,33.609188,2021,6,4,"gbif_with_na"
"411",-111.887896,33.403618,2021,7,1,"gbif_with_na"
"412",-109.826416,32.233963,2021,7,9,"gbif_with_na"
"413",-110.908539,32.24853,2021,7,16,"gbif_with_na"
"414",-109.155951,31.904616,2021,7,11,"gbif_with_na"
"415",-111.014663,31.796323,2021,7,17,"gbif_with_na"
"416",-112.138477,36.057379,2021,7,25,"gbif_with_na"
"417",-110.762633,32.609833,2021,7,29,"gbif_with_na"
"418",-109.101652,31.956494,2021,7,28,"gbif_with_na"
"419",-109.980721,34.31337,2021,8,1,"gbif_with_na"
"420",-109.203941,31.881057,2021,8,4,"gbif_with_na"
"421",-110.908163,32.248178,2021,8,13,"gbif_with_na"
"422",-110.988186,32.220325,2021,8,15,"gbif_with_na"
"423",-110.536728,31.599972,2021,8,12,"gbif_with_na"
"424",-110.70323,31.498519,2021,8,18,"gbif_with_na"
"425",-110.362177,31.479525,2021,8,14,"gbif_with_na"
"426",-111.69159,35.112791,2021,8,10,"gbif_with_na"
"427",-110.693276,32.372779,2021,8,13,"gbif_with_na"
